Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,9.71875,9.1875,9.28125,9.59375,109800.0,6.018779277801514
2000-01-03,9.65625,9.0,9.65625,9.0,134000.0,5.646280765533447
2000-01-04,9.28125,8.875,8.875,9.0,68200.0,5.646280765533447
2000-01-05,9.25,9.0,9.0,9.15625,70000.0,5.744304656982422
2000-01-06,9.5,9.03125,9.09375,9.46875,78600.0,5.940356731414795
2000-01-07,9.46875,9.25,9.4375,9.3125,71800.0,5.842332363128662
2000-01-10,9.34375,9.1875,9.34375,9.28125,67000.0,5.822728633880615
2000-01-11,9.34375,9.25,9.3125,9.25,68200.0,5.80312442779541
2000-01-12,9.3125,9.21875,9.25,9.3125,93000.0,5.842332363128662
2000-01-13,9.5,9.25,9.3125,9.4375,94400.0,5.920754909515381
2000-01-14,9.5,9.25,9.5,9.25,118000.0,5.80312442779541
2000-01-18,9.1875,8.9375,9.1875,9.0625,74000.0,5.685492515563965
2000-01-19,9.21875,9.0,9.0625,9.09375,106000.0,5.705097198486328
2000-01-20,9.3125,8.875,9.125,8.96875,77400.0,5.626673698425293
2000-01-21,9.1875,8.875,9.03125,9.09375,111200.0,5.705097198486328
2000-01-24,9.28125,8.9375,9.28125,8.9375,120400.0,5.6070685386657715
2000-01-25,8.96875,8.5625,8.96875,8.5625,67200.0,5.371807098388672
2000-01-26,8.875,8.5625,8.59375,8.875,91200.0,5.567858695983887
2000-01-27,9.09375,8.9375,8.9375,9.03125,83000.0,5.665884494781494
2000-01-28,9.15625,8.75,9.03125,8.8125,90800.0,5.528650283813477
2000-01-31,9.1875,8.84375,8.84375,9.03125,114600.0,5.665884494781494
2000-02-01,9.0,8.65625,9.0,8.78125,59000.0,5.509045600891113
2000-02-02,8.9375,8.65625,8.71875,8.8125,122200.0,5.528650283813477
2000-02-03,8.875,8.6875,8.8125,8.8125,61600.0,5.528650283813477
2000-02-04,8.78125,8.5625,8.78125,8.6875,101400.0,5.450228214263916
2000-02-07,8.6875,8.5,8.5625,8.6875,62200.0,5.450228214263916
2000-02-08,8.84375,8.5,8.78125,8.5625,70800.0,5.371807098388672
2000-02-09,8.8125,8.3125,8.625,8.4375,98800.0,5.2933878898620605
2000-02-10,8.5,8.21875,8.40625,8.4375,522200.0,5.2933878898620605
2000-02-11,8.53125,7.96875,8.4375,8.0,135000.0,5.01891565322876
2000-02-14,8.25,7.90625,7.96875,8.21875,56200.0,5.156154155731201
2000-02-15,8.4375,8.15625,8.3125,8.4375,76200.0,5.2933878898620605
2000-02-16,8.53125,8.125,8.4375,8.125,86000.0,5.097337245941162
2000-02-17,8.46875,8.1875,8.21875,8.25,82400.0,5.175756931304932
2000-02-18,8.28125,7.9375,8.28125,7.96875,60400.0,4.999311923980713
2000-02-22,8.0,7.8125,7.96875,7.96875,123800.0,4.999311923980713
2000-02-23,8.09375,7.6875,8.03125,7.875,95600.0,4.940492630004883
2000-02-24,7.9375,7.65625,7.875,7.6875,41400.0,4.822865962982178
2000-02-25,7.75,7.625,7.71875,7.65625,63600.0,4.803258895874023
2000-02-28,7.78125,7.5,7.625,7.65625,110800.0,4.803258895874023
2000-02-29,8.09375,7.53125,7.65625,7.53125,194800.0,4.724839687347412
2000-03-01,7.53125,7.28125,7.5,7.28125,123200.0,4.567995548248291
2000-03-02,7.5,7.28125,7.28125,7.46875,156600.0,4.685629367828369
2000-03-03,7.5625,7.4375,7.4375,7.5,65000.0,4.705233573913574
2000-03-06,8.0,7.5,7.5,7.78125,179000.0,4.881680488586426
2000-03-07,7.953100204467773,7.5,7.84375,7.5,222600.0,4.705233573913574
2000-03-08,7.96875,7.875,7.875,7.875,152400.0,4.940492630004883
2000-03-09,7.90625,7.6875,7.78125,7.71875,161200.0,4.842471599578857
2000-03-10,8.078100204467773,7.59375,7.6875,8.0,167600.0,5.01891565322876
2000-03-13,8.0,7.65625,7.8125,7.84375,85600.0,4.989495277404785
2000-03-14,7.9375,7.84375,7.90625,7.90625,139200.0,5.029252052307129
2000-03-15,8.65625,7.84375,7.90625,8.625,141200.0,5.4864583015441895
2000-03-16,9.28125,8.65625,8.65625,9.28125,368600.0,5.903907299041748
2000-03-17,9.5,9.125,9.125,9.46875,267800.0,6.0231757164001465
2000-03-20,9.8125,9.46875,9.46875,9.8125,275800.0,6.2418413162231445
2000-03-21,9.875,9.59375,9.75,9.875,353400.0,6.281597137451172
2000-03-22,10.0,9.40625,9.875,9.40625,338000.0,5.983419895172119
2000-03-23,9.40625,9.0,9.3125,9.34375,399200.0,5.943660259246826
2000-03-24,9.5,9.0,9.25,9.4375,61600.0,6.003300666809082
2000-03-27,9.5,9.09375,9.375,9.4375,67800.0,6.003300666809082
2000-03-28,9.40625,8.8125,9.375,9.15625,63800.0,5.824389457702637
2000-03-29,9.09375,8.90625,9.09375,8.96875,134400.0,5.705118656158447
2000-03-30,9.5625,9.03125,9.03125,9.5625,83800.0,6.082810401916504
2000-03-31,10.5625,9.5,9.65625,10.375,418200.0,6.599652290344238
2000-04-03,10.1875,10.0,10.1875,10.0,172000.0,6.361110210418701
2000-04-04,10.1875,9.75,10.0,10.125,154400.0,6.440623760223389
2000-04-05,10.15625,9.65625,10.15625,9.78125,86200.0,6.221959590911865
2000-04-06,10.0,9.8125,9.84375,9.9375,99400.0,6.321353435516357
2000-04-07,10.21875,9.9375,9.9375,10.15625,40200.0,6.460505485534668
2000-04-10,10.1875,9.90625,10.09375,9.90625,71400.0,6.301474571228027
2000-04-11,10.1875,9.84375,9.90625,10.0,375200.0,6.361110210418701
2000-04-12,10.125,9.96875,10.0625,9.96875,295600.0,6.3412322998046875
2000-04-13,10.0,9.65625,9.96875,9.96875,219400.0,6.3412322998046875
2000-04-14,10.125,9.90625,10.0,9.9375,218800.0,6.321353435516357
2000-04-17,9.90625,9.65625,9.90625,9.75,81200.0,6.202084541320801
2000-04-18,9.75,9.375,9.75,9.46875,173800.0,6.0231757164001465
2000-04-19,9.78125,9.53125,9.53125,9.75,159000.0,6.202084541320801
2000-04-20,10.0,9.6875,9.71875,9.96875,502200.0,6.3412322998046875
2000-04-24,10.3125,9.875,9.875,10.28125,157200.0,6.540018558502197
2000-04-25,11.0,10.34375,10.46875,10.5625,344200.0,6.718924045562744
2000-04-26,10.625,10.0,10.5625,10.15625,147200.0,6.460505485534668
2000-04-27,10.8125,10.09375,10.15625,10.5,178400.0,6.679167747497559
2000-04-28,10.46875,10.125,10.4375,10.46875,65600.0,6.659286975860596
2000-05-01,10.75,10.40625,10.40625,10.59375,260200.0,6.738800525665283
2000-05-02,10.75,10.5625,10.625,10.65625,71400.0,6.778558254241943
2000-05-03,11.125,10.71875,10.71875,11.09375,355200.0,7.056856632232666
2000-05-04,11.25,10.6875,11.0625,10.75,165200.0,6.838196754455566
2000-05-05,11.25,10.625,10.78125,10.84375,237600.0,6.897831916809082
2000-05-08,11.0,10.78125,10.875,11.0,86800.0,6.997222900390625
2000-05-09,11.0,10.6875,10.9375,11.0,196200.0,6.997222900390625
2000-05-10,10.9375,10.75,10.9375,10.78125,70400.0,6.858072280883789
2000-05-11,11.0,10.8125,10.84375,10.96875,182400.0,6.977341651916504
2000-05-12,11.0,10.78125,10.90625,10.9375,75800.0,6.95746374130249
2000-05-15,10.96875,10.78125,10.90625,10.96875,72600.0,6.977341651916504
2000-05-16,11.5625,10.90625,11.0,11.40625,170600.0,7.255640983581543
2000-05-17,11.4375,11.125,11.4375,11.15625,82800.0,7.096612453460693
2000-05-18,11.46875,11.1875,11.25,11.4375,152000.0,7.275518894195557
2000-05-19,11.4375,11.0,11.3125,11.375,100000.0,7.235764026641846
2000-05-22,11.5625,11.40625,11.4375,11.53125,78000.0,7.335155963897705
2000-05-23,11.75,11.5,11.59375,11.625,231400.0,7.394790172576904
2000-05-24,11.78125,11.40625,11.59375,11.71875,114600.0,7.4544267654418945
2000-05-25,11.84375,11.5625,11.75,11.6875,159800.0,7.434547424316406
2000-05-26,11.75,11.1875,11.75,11.21875,99800.0,7.136368751525879
2000-05-30,11.625,11.03125,11.125,11.46875,116400.0,7.2953996658325195
2000-05-31,11.5,11.0,11.46875,11.0,153600.0,6.997222900390625
2000-06-01,11.03125,10.5,11.03125,10.78125,229600.0,6.858072280883789
2000-06-02,11.46875,10.6875,10.6875,11.34375,133400.0,7.21588659286499
2000-06-05,11.28125,10.84375,11.28125,10.9375,44600.0,6.95746374130249
2000-06-06,11.0,10.875,10.96875,10.96875,36400.0,6.977341651916504
2000-06-07,11.46875,10.9375,10.96875,11.40625,257800.0,7.255640983581543
2000-06-08,11.375,11.0,11.375,11.03125,35200.0,7.0170979499816895
2000-06-09,11.15625,11.03125,11.09375,11.0625,21800.0,7.036977291107178
2000-06-12,11.5,11.0625,11.0625,11.3125,70000.0,7.196005344390869
2000-06-13,11.5,11.15625,11.21875,11.1875,143400.0,7.186374664306641
2000-06-14,11.21875,10.8125,11.0,10.9375,140400.0,7.025781154632568
2000-06-15,11.0,10.6875,11.0,10.875,138000.0,6.9856367111206055
2000-06-16,10.875,10.6875,10.84375,10.84375,203800.0,6.9655632972717285
2000-06-19,10.875,10.625,10.875,10.8125,45000.0,6.9454851150512695
2000-06-20,10.8125,10.5,10.8125,10.59375,155000.0,6.804971218109131
2000-06-21,10.6875,10.46875,10.6875,10.5,272200.0,6.7447509765625
2000-06-22,10.4375,10.1875,10.4375,10.1875,202200.0,6.544013023376465
2000-06-23,10.21875,10.03125,10.1875,10.15625,229400.0,6.523942470550537
2000-06-26,10.25,10.15625,10.25,10.25,33600.0,6.5841593742370605
2000-06-27,10.21875,10.09375,10.1875,10.125,141200.0,6.5038652420043945
2000-06-28,10.875,10.1875,10.1875,10.875,239200.0,6.9856367111206055
2000-06-29,11.3125,10.71875,10.875,11.03125,200600.0,7.086000919342041
2000-06-30,11.25,9.875,11.0625,9.875,633600.0,6.343278884887695
2000-07-03,10.8125,10.0,10.0,10.78125,95200.0,6.925414562225342
2000-07-05,11.0625,10.75,10.78125,10.9375,219600.0,7.025781154632568
2000-07-06,11.0625,10.6875,10.96875,10.75,113600.0,6.905343532562256
2000-07-07,11.1875,10.75,10.75,11.15625,205000.0,7.166295528411865
2000-07-10,11.34375,11.0625,11.15625,11.21875,124400.0,7.2064433097839355
2000-07-11,11.40625,10.9375,11.15625,11.03125,99000.0,7.086000919342041
2000-07-12,11.4375,11.03125,11.09375,11.34375,45400.0,7.286741733551025
2000-07-13,11.34375,11.0,11.3125,11.1875,165600.0,7.186374664306641
2000-07-14,11.1875,11.125,11.1875,11.125,50000.0,7.146224498748779
2000-07-17,11.59375,11.125,11.125,11.15625,109400.0,7.166295528411865
2000-07-18,11.28125,11.09375,11.28125,11.09375,101200.0,7.126150608062744
2000-07-19,11.1875,11.09375,11.15625,11.09375,111600.0,7.126150608062744
2000-07-20,11.21875,11.09375,11.15625,11.15625,205000.0,7.166295528411865
2000-07-21,11.84375,11.15625,11.1875,11.8125,244400.0,7.587841987609863
2000-07-24,11.75,11.1875,11.75,11.28125,98000.0,7.246591567993164
2000-07-25,12.0,11.21875,11.3125,11.90625,178200.0,7.648068904876709
2000-07-26,11.9375,11.625,11.9375,11.75,231800.0,7.547696590423584
2000-07-27,11.96875,11.625,11.75,11.8125,135000.0,7.587841987609863
2000-07-28,12.0,11.625,11.6875,12.0,212000.0,7.708288192749023
2000-07-31,12.375,12.125,12.125,12.34375,270600.0,7.929098129272461
2000-08-01,12.375,12.21875,12.3125,12.34375,74200.0,7.929098129272461
2000-08-02,12.375,12.0,12.375,12.21875,256800.0,7.848802089691162
2000-08-03,12.34375,12.09375,12.15625,12.21875,107400.0,7.848802089691162
2000-08-04,12.21875,11.875,12.15625,12.0625,128800.0,7.7484354972839355
2000-08-07,12.25,12.09375,12.09375,12.25,874200.0,7.868875026702881
2000-08-08,12.65625,12.25,12.34375,12.28125,242400.0,7.888951301574707
2000-08-09,12.625,12.125,12.1875,12.125,189800.0,7.788583278656006
2000-08-10,12.28125,11.875,12.0625,12.0625,135800.0,7.7484354972839355
2000-08-11,12.1875,12.0,12.09375,12.03125,411000.0,7.728360176086426
2000-08-14,12.625,12.0625,12.0625,12.46875,125200.0,8.009390830993652
2000-08-15,12.5,12.0625,12.5,12.3125,100600.0,7.909024238586426
2000-08-16,13.0625,12.46875,12.46875,12.84375,404800.0,8.250275611877441
2000-08-17,13.03125,12.625,12.875,12.65625,472600.0,8.129833221435547
2000-08-18,12.625,12.0,12.625,12.4375,165800.0,7.989317417144775
2000-08-21,12.625,12.375,12.40625,12.5,128200.0,8.02946662902832
2000-08-22,12.8125,12.40625,12.4375,12.8125,138600.0,8.23020076751709
2000-08-23,12.8125,12.46875,12.8125,12.59375,119200.0,8.089686393737793
2000-08-24,12.75,12.375,12.625,12.375,213800.0,7.949171543121338
2000-08-25,12.78125,12.40625,12.4375,12.6875,236200.0,8.149908065795898
2000-08-28,12.71875,12.25,12.6875,12.375,137200.0,7.949171543121338
2000-08-29,12.71875,12.375,12.40625,12.375,137000.0,7.949171543121338
2000-08-30,12.65625,12.3125,12.3125,12.4375,98800.0,7.989317417144775
2000-08-31,12.59375,12.375,12.53125,12.40625,143400.0,7.96924352645874
2000-09-01,12.5,12.1875,12.4375,12.3125,105200.0,7.909024238586426
2000-09-05,12.25,12.15625,12.1875,12.21875,78600.0,7.848802089691162
2000-09-06,12.5,12.125,12.34375,12.125,272400.0,7.788583278656006
2000-09-07,12.03125,11.5,12.03125,11.625,246000.0,7.467401027679443
2000-09-08,11.75,11.40625,11.6875,11.59375,175000.0,7.447329998016357
2000-09-11,11.84375,11.59375,11.59375,11.84375,43600.0,7.6079182624816895
2000-09-12,11.9375,11.59375,11.78125,11.75,161800.0,7.547696590423584
2000-09-13,11.75,11.28125,11.75,11.375,60200.0,7.3758649826049805
2000-09-14,11.46875,11.3125,11.4375,11.34375,29400.0,7.355599403381348
2000-09-15,11.21875,10.78125,11.15625,10.84375,743800.0,7.031386375427246
2000-09-18,10.96875,10.4375,10.90625,10.53125,128000.0,6.828752040863037
2000-09-19,10.625,10.28125,10.53125,10.34375,216200.0,6.707174777984619
2000-09-20,10.5625,9.90625,10.34375,10.03125,187000.0,6.5045390129089355
2000-09-21,10.25,9.84375,9.9375,9.96875,238400.0,6.464014530181885
2000-09-22,9.90625,9.6875,9.90625,9.8125,139000.0,6.362695217132568
2000-09-25,9.875,9.6875,9.875,9.6875,96000.0,6.281644344329834
2000-09-26,9.6875,9.25,9.6875,9.34375,166600.0,6.058743000030518
2000-09-27,9.875,9.3125,9.375,9.84375,526200.0,6.3829569816589355
2000-09-28,10.28125,9.75,9.75,10.1875,149600.0,6.605856895446777
2000-09-29,10.375,10.09375,10.28125,10.09375,153400.0,6.5450663566589355
2000-10-02,10.1875,9.3125,10.1875,9.5,341800.0,6.160060405731201
2000-10-03,10.09375,9.53125,9.53125,9.875,212800.0,6.403221607208252
